xIris,yIris,R,G,B
4,4,255,0,0
4,4,255,0,0
4,4,255,0,0
4,4,255,0,0
4,4,255,0,0
3,4,255,0,0
5,3,255,0,0
4,4,255,0,0
5,3,255,0,0
4,4,255,0,0
3,4,255,0,0
5,3,255,0,0
5,5,255,0,0
5,3,255,0,0
2,2,255,0,0
2,2,255,0,0
2,2,255,0,0
4,3,255,0,0
2,3,255,0,0
4,2,255,0,0
3,5,255,0,0
4,2,255,0,0
5,2,255,0,0
3,5,255,0,0
4,5,255,0,0
5,5,255,0,0
4,4,255,0,0
3,3,255,0,0
4,3,255,0,0
5,5,255,0,0
5,5,255,0,0
2,3,255,0,0
3,1,255,0,0
3,1,255,0,0
5,5,255,0,0
5,3,255,0,0
3,3,255,0,0
5,5,255,0,0
5,5,255,0,0
2,5,255,0,0
5,2,255,0,0
5,5,255,0,0
5,5,255,0,0
5,1,255,0,0
5,1,255,0,0
4,5,255,0,0
3,1,255,0,0
5,4,255,0,0
2,2,255,0,0
4,3,255,0,0
5,0,0,255,0
5,0,0,255,0
5,0,0,255,0
5,0,0,255,0
5,0,0,255,0
5,0,0,255,0
5,0,0,255,0
5,2,0,255,0
5,0,0,255,0
5,1,0,255,0
5,2,0,255,0
4,0,0,255,0
5,1,0,255,0
5,0,0,255,0
5,2,0,255,0
4,0,0,255,0
5,0,0,255,0
5,1,0,255,0
5,0,0,255,0
5,2,0,255,0
4,0,0,255,0
4,1,0,255,0
5,0,0,255,0
5,0,0,255,0
4,0,0,255,0
4,0,0,255,0
5,0,0,255,0
5,0,0,255,0
4,1,0,255,0
4,2,0,255,0
5,2,0,255,0
5,2,0,255,0
5,2,0,255,0
5,0,0,255,0
5,1,0,255,0
3,0,0,255,0
4,0,0,255,0
5,1,0,255,0
5,2,0,255,0
5,2,0,255,0
5,2,0,255,0
4,0,0,255,0
5,2,0,255,0
4,3,0,255,0
5,2,0,255,0
4,1,0,255,0
5,1,0,255,0
3,0,0,255,0
4,3,0,255,0
5,1,0,255,0
5,0,0,0,255
5,0,0,0,255
5,0,0,0,255
5,0,0,0,255
5,0,0,0,255
5,0,0,0,255
5,2,0,0,255
5,0,0,0,255
5,0,0,0,255
5,0,0,0,255
5,1,0,0,255
5,1,0,0,255
5,0,0,0,255
4,1,0,0,255
5,1,0,0,255
5,0,0,0,255
4,0,0,0,255
5,0,0,0,255
5,0,0,0,255
4,1,0,0,255
5,0,0,0,255
4,1,0,0,255
5,0,0,0,255
4,1,0,0,255
5,0,0,0,255
5,0,0,0,255
4,1,0,0,255
4,1,0,0,255
5,1,0,0,255
5,0,0,0,255
5,0,0,0,255
5,0,0,0,255
5,1,0,0,255
4,1,0,0,255
4,1,0,0,255
5,0,0,0,255
5,1,0,0,255
5,1,0,0,255
5,2,0,0,255
4,0,0,0,255
5,1,0,0,255
5,1,0,0,255
5,2,0,0,255
5,0,0,0,255
5,0,0,0,255
5,1,0,0,255
4,1,0,0,255
4,1,0,0,255
5,1,0,0,255
5,2,0,0,255
