xIris,yIris,R,G,B
5.347,2.973,255.000,0.000,0.000
5.135,3.185,255.000,0.000,0.000
4.981,2.749,255.000,0.000,0.000
4.867,2.724,255.000,0.000,0.000
5.224,3.321,255.000,0.000,0.000
5.090,3.214,255.000,0.000,0.000
5.385,2.962,255.000,0.000,0.000
4.973,2.890,255.000,0.000,0.000
4.983,4.902,255.000,0.000,0.000
5.074,3.349,255.000,0.000,0.000
5.319,1.910,255.000,0.000,0.000
4.173,2.884,255.000,0.000,0.000
5.300,4.915,255.000,0.000,0.000
5.284,4.695,255.000,0.000,0.000
4.940,2.299,255.000,0.000,0.000
4.854,1.643,255.000,0.000,0.000
4.966,1.386,255.000,0.000,0.000
4.102,3.675,255.000,0.000,0.000
4.848,2.213,255.000,0.000,0.000
2.927,3.322,255.000,0.000,0.000
4.220,3.643,255.000,0.000,0.000
3.328,2.978,255.000,0.000,0.000
5.230,4.723,255.000,0.000,0.000
2.771,3.777,255.000,0.000,0.000
2.612,3.876,255.000,0.000,0.000
5.053,5.352,255.000,0.000,0.000
3.340,5.240,255.000,0.000,0.000
4.720,2.987,255.000,0.000,0.000
4.803,3.250,255.000,0.000,0.000
3.263,4.910,255.000,0.000,0.000
3.325,5.049,255.000,0.000,0.000
4.992,1.925,255.000,0.000,0.000
3.669,1.258,255.000,0.000,0.000
5.376,0.797,255.000,0.000,0.000
5.203,4.934,255.000,0.000,0.000
4.636,4.739,255.000,0.000,0.000
5.214,2.781,255.000,0.000,0.000
3.163,4.792,255.000,0.000,0.000
2.248,5.286,255.000,0.000,0.000
4.276,3.104,255.000,0.000,0.000
2.860,2.877,255.000,0.000,0.000
2.292,5.291,255.000,0.000,0.000
1.949,4.287,255.000,0.000,0.000
2.711,2.100,255.000,0.000,0.000
2.787,1.079,255.000,0.000,0.000
2.896,4.865,255.000,0.000,0.000
3.773,1.136,255.000,0.000,0.000
1.608,4.169,255.000,0.000,0.000
5.283,1.288,255.000,0.000,0.000
5.317,5.034,255.000,0.000,0.000
-0.261,4.324,0.000,255.000,0.000
0.225,4.298,0.000,255.000,0.000
-0.073,3.635,0.000,255.000,0.000
1.291,5.309,0.000,255.000,0.000
0.256,3.981,0.000,255.000,0.000
0.822,3.777,0.000,255.000,0.000
-0.245,4.346,0.000,255.000,0.000
2.027,3.881,0.000,255.000,0.000
-0.202,3.691,0.000,255.000,0.000
0.668,4.874,0.000,255.000,0.000
1.973,3.868,0.000,255.000,0.000
0.251,3.699,0.000,255.000,0.000
1.095,4.701,0.000,255.000,0.000
0.006,4.352,0.000,255.000,0.000
1.330,3.300,0.000,255.000,0.000
0.215,3.905,0.000,255.000,0.000
-0.014,3.004,0.000,255.000,0.000
1.375,5.063,0.000,255.000,0.000
0.147,4.756,0.000,255.000,0.000
2.056,4.354,0.000,255.000,0.000
-0.139,2.788,0.000,255.000,0.000
1.076,4.925,0.000,255.000,0.000
0.392,3.956,0.000,255.000,0.000
0.061,4.283,0.000,255.000,0.000
-0.032,5.233,0.000,255.000,0.000
0.263,4.078,0.000,255.000,0.000
0.135,3.689,0.000,255.000,0.000
0.038,4.086,0.000,255.000,0.000
1.118,2.990,0.000,255.000,0.000
1.859,5.269,0.000,255.000,0.000
1.795,3.780,0.000,255.000,0.000
1.895,4.786,0.000,255.000,0.000
1.694,3.900,0.000,255.000,0.000
-0.245,3.333,0.000,255.000,0.000
1.346,2.932,0.000,255.000,0.000
-0.148,3.028,0.000,255.000,0.000
-0.247,5.250,0.000,255.000,0.000
0.968,4.656,0.000,255.000,0.000
1.738,4.284,0.000,255.000,0.000
2.271,4.204,0.000,255.000,0.000
1.984,4.356,0.000,255.000,0.000
-0.195,3.167,0.000,255.000,0.000
2.118,3.806,0.000,255.000,0.000
2.740,5.100,0.000,255.000,0.000
2.314,4.171,0.000,255.000,0.000
0.805,3.274,0.000,255.000,0.000
0.841,2.636,0.000,255.000,0.000
-0.177,3.843,0.000,255.000,0.000
2.763,3.328,0.000,255.000,0.000
1.123,3.674,0.000,255.000,0.000
0.389,2.027,0.000,0.000,255.000
0.381,2.659,0.000,0.000,255.000
-0.272,2.965,0.000,0.000,255.000
0.208,2.697,0.000,0.000,255.000
-0.206,3.016,0.000,0.000,255.000
-0.238,2.677,0.000,0.000,255.000
2.182,3.902,0.000,0.000,255.000
-0.153,2.610,0.000,0.000,255.000
-0.356,3.215,0.000,0.000,255.000
