xCoord,yCoord
25,51
1,48
2,5
3,35
34,51
2,10
11,24
28,26
3,26
27,2
0,1
31,40
26,3
5,36
0,0
22,27
11,50
41,27
25,0
47,36
47,19
42,44
0,7
38,4
15,25
1,51
22,16
35,40
0,8
11,51
0,0
0,0
29,0
20,25
11,1
0,51
1,25
4,26
48,10
0,0
47,36
20,51
48,20
21,16
30,0
5,0
50,36
11,51
16,22
10,2
46,15
28,0
0,0
25,51
21,25
0,44
5,1
0,18
48,36
0,0
0,26
19,0
11,11
50,42
51,16
7,25
35,0
33,24
47,18
0,0
32,34
15,17
26,8
20,47
25,51
1,0
39,25
10,42
27,2
51,1
45,47
51,46
14,50
46,22
27,0
51,1
1,0
19,47
26,6
28,35
24,46
5,24
1,26
50,20
51,13
1,1
24,14
51,46
45,29
38,24
18,40
51,48
42,48
12,25
51,1
25,2
48,0
0,9
50,51
1,50
26,15
48,25
0,0
48,0
27,39
50,51
0,24
51,2
50,25
51,22
23,10
25,16
26,0
22,1
2,26
32,41
19,40
26,41
0,51
0,15
10,28
10,0
45,18
23,42
31,51
0,0
20,27
20,27
50,51
28,26
51,49
0,51
46,23
2,26
34,0
0,1
46,19
42,48
28,26
11,2
9,2
21,30
0,0
34,9
0,27
23,0
0,49
0,25
18,26
26,51
48,0
0,8
36,51
28,1
42,25
16,27
51,29
33,48
26,51
2,1
44,25
16,28
33,27
26,4
51,13
7,0
33,0
51,8
0,25
30,29
46,35
0,1
42,31
26,4
16,51
0,51
28,51
51,1
51,51
10,51
7,0
14,26
7,0
26,51
36,51
43,26
32,2
51,51
19,34
2,50
36,51
1,50
33,0
3,29
8,10
51,12
5,50
26,18
1,3
51,0
30,51
4,36
26,50
50,51
51,36
26,0
51,8
30,33
31,8
27,18
1,10
51,25
0,2
22,18
3,0
50,51
50,26
33,45
25,1
5,33
51,1
51,0
51,7
1,51
19,33
51,0
43,51
0,4
51,48
34,27
25,0
51,0
25,0
10,18
51,25
1,42
28,36
0,51
25,26
44,0
2,14
2,14
25,51
51,51
32,51
51,33
34,26
51,48
26,1
29,21
32,1
17,51
33,45
3,8
42,44
51,19
26,26
17,43
51,51
0,0
25,1
4,28
51,51
7,0
0,31
0,26
51,0
38,29
26,51
51,44
44,19
20,9
44,0
50,51
38,28
26,50
19,12
50,41
0,25
24,35
8,51
29,36
0,0
1,51
51,46
50,51
7,25
50,26
45,0
50,51
43,2
19,10
34,26
18,9
26,0
3,39
29,36
0,13
0,25
24,39
24,51
51,7
3,50
49,32
26,1
3,24
0,28
41,22
25,35
47,48
27,51
2,45
20,6
