xSOM,ySOM,R,G,B,label
13.000,18.000,169.335,109.571,39.844,-1.000
13.000,18.000,169.335,109.571,39.844,-1.000
13.000,18.000,169.335,109.571,39.844,-1.000
13.000,18.000,169.335,109.571,39.844,-1.000
12.000,18.000,0.000,0.000,0.000,0.000
12.000,18.000,0.000,0.000,0.000,0.000
12.000,18.000,0.000,0.000,0.000,0.000
12.000,18.000,0.000,0.000,0.000,0.000
17.000,19.000,244.043,129.492,47.812,1.000
6.000,19.000,244.043,129.492,47.812,1.000
18.000,17.000,244.043,129.492,47.812,1.000
9.000,19.000,244.043,129.492,47.812,1.000
7.000,14.000,127.500,127.500,127.500,2.000
6.000,14.000,127.500,127.500,127.500,2.000
9.000,13.000,127.500,127.500,127.500,2.000
7.000,14.000,127.500,127.500,127.500,2.000
14.000,13.000,229.102,24.903,74.707,3.000
16.000,12.000,229.102,24.903,74.707,3.000
17.000,15.000,229.102,24.903,74.707,3.000
14.000,14.000,229.102,24.903,74.707,3.000
6.000,19.000,59.767,179.298,74.707,4.000
7.000,17.000,59.767,179.298,74.707,4.000
5.000,19.000,59.767,179.298,74.707,4.000
5.000,17.000,59.767,179.298,74.707,4.000
11.000,14.000,0.000,129.492,199.219,5.000
12.000,15.000,0.000,129.492,199.219,5.000
15.000,11.000,0.000,129.492,199.219,5.000
12.000,15.000,0.000,129.492,199.219,5.000
7.000,19.000,254.003,224.122,24.903,6.000
8.000,18.000,254.003,224.122,24.903,6.000
9.000,17.000,254.003,224.122,24.903,6.000
6.000,14.000,254.003,224.122,24.903,6.000
10.000,14.000,249.023,189.258,189.258,7.000
6.000,19.000,249.023,189.258,189.258,7.000
10.000,14.000,249.023,189.258,189.258,7.000
10.000,13.000,249.023,189.258,189.258,7.000
6.000,15.000,69.727,239.062,239.062,8.000
8.000,18.000,69.727,239.062,239.062,8.000
11.000,17.000,69.727,239.062,239.062,8.000
9.000,18.000,69.727,239.062,239.062,8.000
19.000,14.000,169.335,109.571,39.844,0.000
15.000,16.000,169.335,109.571,39.844,0.000
8.000,17.000,169.335,109.571,39.844,0.000
19.000,18.000,169.335,109.571,39.844,0.000
10.000,19.000,0.000,0.000,0.000,1.000
9.000,18.000,0.000,0.000,0.000,1.000
9.000,18.000,0.000,0.000,0.000,1.000
12.000,19.000,0.000,0.000,0.000,1.000
4.000,17.000,244.043,129.492,47.812,2.000
18.000,18.000,244.043,129.492,47.812,2.000
5.000,19.000,244.043,129.492,47.812,2.000
16.000,19.000,244.043,129.492,47.812,2.000
5.000,15.000,127.500,127.500,127.500,3.000
5.000,12.000,127.500,127.500,127.500,3.000
16.000,19.000,127.500,127.500,127.500,3.000
9.000,13.000,127.500,127.500,127.500,3.000
13.000,11.000,229.102,24.903,74.707,4.000
11.000,15.000,229.102,24.903,74.707,4.000
12.000,12.000,229.102,24.903,74.707,4.000
13.000,11.000,229.102,24.903,74.707,4.000
12.000,18.000,59.767,179.298,74.707,5.000
12.000,17.000,59.767,179.298,74.707,5.000
12.000,17.000,59.767,179.298,74.707,5.000
12.000,16.000,59.767,179.298,74.707,5.000
15.000,18.000,0.000,129.492,199.219,6.000
15.000,10.000,0.000,129.492,199.219,6.000
11.000,12.000,0.000,129.492,199.219,6.000
9.000,14.000,0.000,129.492,199.219,6.000
12.000,10.000,254.003,224.122,24.903,7.000
15.000,15.000,254.003,224.122,24.903,7.000
13.000,14.000,254.003,224.122,24.903,7.000
12.000,10.000,254.003,224.122,24.903,7.000
10.000,14.000,249.023,189.258,189.258,8.000
17.000,17.000,249.023,189.258,189.258,8.000
9.000,11.000,249.023,189.258,189.258,8.000
16.000,17.000,249.023,189.258,189.258,8.000
11.000,11.000,69.727,239.062,239.062,9.000
12.000,15.000,69.727,239.062,239.062,9.000
11.000,11.000,69.727,239.062,239.062,9.000
12.000,11.000,69.727,239.062,239.062,9.000
