xSOM,ySOM,R,G,B,label
3.000,13.240,0.000,0.000,0.000,0.000
3.092,12.708,0.000,0.000,0.000,0.000
3.267,12.035,0.000,0.000,0.000,0.000
2.804,12.207,0.000,0.000,0.000,0.000
2.689,13.107,0.000,0.000,0.000,0.000
0.954,12.374,0.000,0.000,0.000,0.000
6.877,13.172,0.000,0.000,0.000,0.000
-0.035,6.303,0.000,0.000,0.000,0.000
8.796,5.018,0.000,0.000,0.000,0.000
0.906,16.624,0.000,0.000,0.000,0.000
8.767,4.686,0.000,0.000,0.000,0.000
-0.374,9.214,0.000,0.000,0.000,0.000
8.194,14.033,0.000,0.000,0.000,0.000
1.352,18.923,0.000,0.000,0.000,0.000
-0.203,11.174,0.000,0.000,0.000,0.000
-0.125,19.186,0.000,0.000,0.000,0.000
2.356,2.673,0.000,0.000,0.000,0.000
4.384,13.060,0.000,0.000,0.000,0.000
10.173,12.712,0.000,0.000,0.000,0.000
1.978,3.813,0.000,0.000,0.000,0.000
12.106,7.904,0.000,0.000,0.000,0.000
-0.319,9.269,0.000,0.000,0.000,0.000
9.647,17.704,0.000,0.000,0.000,0.000
7.245,10.760,0.000,0.000,0.000,0.000
1.784,3.202,0.000,0.000,0.000,0.000
8.829,11.128,0.000,0.000,0.000,0.000
2.293,18.195,0.000,0.000,0.000,0.000
1.903,18.881,0.000,0.000,0.000,0.000
10.217,18.797,0.000,0.000,0.000,0.000
5.064,0.953,0.000,0.000,0.000,0.000
9.203,12.339,0.000,0.000,0.000,0.000
0.942,8.863,0.000,0.000,0.000,0.000
0.219,9.208,0.000,0.000,0.000,0.000
8.322,1.910,0.000,0.000,0.000,0.000
5.981,10.301,0.000,0.000,0.000,0.000
0.959,16.628,0.000,0.000,0.000,0.000
14.282,15.310,0.000,0.000,0.000,0.000
3.026,0.081,0.000,0.000,0.000,0.000
12.198,2.859,0.000,0.000,0.000,0.000
11.339,1.813,0.000,0.000,0.000,0.000
3.843,8.179,0.000,0.000,0.000,0.000
-0.225,17.834,0.000,0.000,0.000,0.000
8.732,19.270,0.000,0.000,0.000,0.000
-0.211,13.878,0.000,0.000,0.000,0.000
-0.107,7.942,0.000,0.000,0.000,0.000
