xSOM,ySOM,R,G,B,label
35.864,57.680,17.000,120.000,100.000,9.000
11.044,0.269,17.000,120.000,100.000,9.000
10.969,36.659,17.000,120.000,100.000,9.000
42.900,54.810,17.000,120.000,100.000,9.000
39.299,5.850,22.000,160.000,133.000,10.000
24.704,62.260,22.000,160.000,133.000,10.000
14.274,70.139,22.000,160.000,133.000,10.000
49.000,10.869,22.000,160.000,133.000,10.000
10.954,63.340,212.000,239.000,223.000,11.000
68.098,62.753,212.000,239.000,223.000,11.000
48.944,47.097,212.000,239.000,223.000,11.000
69.665,4.661,212.000,239.000,223.000,11.000
69.965,18.201,30.000,132.000,73.000,12.000
10.118,36.349,30.000,132.000,73.000,12.000
34.632,8.162,30.000,132.000,73.000,12.000
4.002,13.210,30.000,132.000,73.000,12.000
55.634,67.258,24.000,106.000,59.000,13.000
37.787,34.264,24.000,106.000,59.000,13.000
54.236,39.834,24.000,106.000,59.000,13.000
14.843,8.021,24.000,106.000,59.000,13.000
55.370,6.048,125.000,102.000,8.000,14.000
7.015,44.843,125.000,102.000,8.000,14.000
0.185,17.354,125.000,102.000,8.000,14.000
19.255,46.081,125.000,102.000,8.000,14.000
39.720,46.182,253.000,242.000,233.000,15.000
9.710,43.892,253.000,242.000,233.000,15.000
48.339,6.311,253.000,242.000,233.000,15.000
24.260,7.221,253.000,242.000,233.000,15.000
61.186,22.771,230.000,126.000,34.000,16.000
22.659,9.005,230.000,126.000,34.000,16.000
3.283,44.282,230.000,126.000,34.000,16.000
6.719,63.020,230.000,126.000,34.000,16.000
60.312,1.651,229.000,152.000,102.000,17.000
28.991,31.897,229.000,152.000,102.000,17.000
6.973,8.063,229.000,152.000,102.000,17.000
27.161,70.980,229.000,152.000,102.000,17.000
28.355,55.284,253.000,254.000,254.000,18.000
52.154,0.042,253.000,254.000,254.000,18.000
24.192,14.317,253.000,254.000,254.000,18.000
39.722,12.619,253.000,254.000,254.000,18.000
59.353,31.162,151.000,154.000,154.000,19.000
9.894,41.060,151.000,154.000,154.000,19.000
37.718,22.155,151.000,154.000,154.000,19.000
48.665,62.250,151.000,154.000,154.000,19.000
7.296,22.737,166.000,172.000,175.000,20.000
23.674,43.392,166.000,172.000,175.000,20.000
14.027,59.271,166.000,172.000,175.000,20.000
30.904,72.049,166.000,172.000,175.000,20.000
16.237,14.068,170.000,183.000,184.000,21.000
30.952,32.278,170.000,183.000,184.000,21.000
15.944,65.962,170.000,183.000,184.000,21.000
41.038,22.370,170.000,183.000,184.000,21.000
31.773,35.302,204.000,209.000,209.000,22.000
68.065,35.071,204.000,209.000,209.000,22.000
