xSOM,ySOM,R,G,B,label
9.000,10.000,169.335,109.571,39.844,0.000
5.000,7.000,169.335,109.571,39.844,0.000
18.000,3.000,169.335,109.571,39.844,0.000
1.000,9.000,169.335,109.571,39.844,0.000
3.000,6.000,0.000,0.000,0.000,1.000
0.000,3.000,0.000,0.000,0.000,1.000
1.000,14.000,0.000,0.000,0.000,1.000
18.000,19.000,0.000,0.000,0.000,1.000
2.000,5.000,244.043,129.492,47.812,2.000
6.000,7.000,244.043,129.492,47.812,2.000
18.000,8.000,244.043,129.492,47.812,2.000
10.000,6.000,244.043,129.492,47.812,2.000
7.000,1.000,127.500,127.500,127.500,3.000
11.000,17.000,127.500,127.500,127.500,3.000
13.000,6.000,127.500,127.500,127.500,3.000
16.000,0.000,127.500,127.500,127.500,3.000
1.000,8.000,229.102,24.903,74.707,4.000
10.000,5.000,229.102,24.903,74.707,4.000
5.000,9.000,229.102,24.903,74.707,4.000
18.000,10.000,229.102,24.903,74.707,4.000
13.000,7.000,59.767,179.298,74.707,5.000
18.000,9.000,59.767,179.298,74.707,5.000
2.000,8.000,59.767,179.298,74.707,5.000
12.000,10.000,59.767,179.298,74.707,5.000
18.000,17.000,0.000,129.492,199.219,6.000
4.000,8.000,0.000,129.492,199.219,6.000
7.000,6.000,0.000,129.492,199.219,6.000
11.000,17.000,0.000,129.492,199.219,6.000
0.000,12.000,254.003,224.122,24.903,7.000
0.000,15.000,254.003,224.122,24.903,7.000
2.000,17.000,254.003,224.122,24.903,7.000
10.000,18.000,254.003,224.122,24.903,7.000
17.000,15.000,249.023,189.258,189.258,8.000
10.000,19.000,249.023,189.258,189.258,8.000
8.000,2.000,249.023,189.258,189.258,8.000
8.000,5.000,249.023,189.258,189.258,8.000
14.000,1.000,69.727,239.062,239.062,9.000
9.000,19.000,69.727,239.062,239.062,9.000
7.000,6.000,69.727,239.062,239.062,9.000
11.000,18.000,69.727,239.062,239.062,9.000
