xSOM,ySOM,R,G,B,label
15.104,19.346,169.335,109.571,39.844,0.000
1.665,15.695,169.335,109.571,39.844,0.000
10.003,12.925,169.335,109.571,39.844,0.000
7.029,8.914,169.335,109.571,39.844,0.000
8.661,8.955,169.335,109.571,39.844,0.000
1.927,11.819,169.335,109.571,39.844,0.000
17.393,6.096,169.335,109.571,39.844,0.000
9.188,0.174,169.335,109.571,39.844,0.000
18.122,0.853,169.335,109.571,39.844,0.000
10.205,15.646,169.335,109.571,39.844,0.000
17.613,5.708,0.000,0.000,0.000,1.000
13.682,18.340,0.000,0.000,0.000,1.000
10.655,6.019,0.000,0.000,0.000,1.000
4.811,-0.344,0.000,0.000,0.000,1.000
8.044,11.819,0.000,0.000,0.000,1.000
1.903,16.368,0.000,0.000,0.000,1.000
11.192,-0.345,0.000,0.000,0.000,1.000
16.237,16.067,0.000,0.000,0.000,1.000
15.733,11.104,0.000,0.000,0.000,1.000
18.070,0.647,0.000,0.000,0.000,1.000
3.656,13.857,244.043,129.492,47.812,2.000
12.672,2.238,244.043,129.492,47.812,2.000
2.982,7.606,244.043,129.492,47.812,2.000
1.303,3.957,244.043,129.492,47.812,2.000
-0.326,3.103,244.043,129.492,47.812,2.000
9.066,10.003,244.043,129.492,47.812,2.000
6.212,4.242,244.043,129.492,47.812,2.000
4.186,10.791,244.043,129.492,47.812,2.000
10.603,17.369,244.043,129.492,47.812,2.000
14.351,13.867,244.043,129.492,47.812,2.000
13.613,8.737,127.500,127.500,127.500,3.000
19.248,11.902,127.500,127.500,127.500,3.000
18.281,5.274,127.500,127.500,127.500,3.000
0.215,2.316,127.500,127.500,127.500,3.000
16.196,6.056,127.500,127.500,127.500,3.000
17.307,4.183,127.500,127.500,127.500,3.000
15.868,17.137,127.500,127.500,127.500,3.000
4.748,10.615,127.500,127.500,127.500,3.000
2.120,17.207,127.500,127.500,127.500,3.000
5.317,8.289,127.500,127.500,127.500,3.000
6.872,9.944,229.102,24.903,74.707,4.000
19.100,13.091,229.102,24.903,74.707,4.000
10.885,2.328,229.102,24.903,74.707,4.000
8.702,8.373,229.102,24.903,74.707,4.000
11.918,7.745,229.102,24.903,74.707,4.000
16.185,2.954,229.102,24.903,74.707,4.000
15.172,1.833,229.102,24.903,74.707,4.000
10.372,5.283,229.102,24.903,74.707,4.000
7.206,10.354,229.102,24.903,74.707,4.000
8.668,6.908,229.102,24.903,74.707,4.000
2.272,1.182,59.767,179.298,74.707,5.000
16.622,12.993,59.767,179.298,74.707,5.000
6.037,1.242,59.767,179.298,74.707,5.000
15.920,14.612,59.767,179.298,74.707,5.000
11.334,15.246,59.767,179.298,74.707,5.000
9.901,12.997,59.767,179.298,74.707,5.000
3.212,-0.328,59.767,179.298,74.707,5.000
0.795,17.303,59.767,179.298,74.707,5.000
13.962,3.900,59.767,179.298,74.707,5.000
10.212,18.769,59.767,179.298,74.707,5.000
2.038,6.630,0.000,129.492,199.219,6.000
2.636,16.696,0.000,129.492,199.219,6.000
5.663,4.279,0.000,129.492,199.219,6.000
12.095,0.346,0.000,129.492,199.219,6.000
-0.142,7.080,0.000,129.492,199.219,6.000
7.656,15.818,0.000,129.492,199.219,6.000
0.175,1.826,0.000,129.492,199.219,6.000
11.235,1.034,0.000,129.492,199.219,6.000
16.175,19.075,0.000,129.492,199.219,6.000
8.781,14.079,0.000,129.492,199.219,6.000
6.134,19.189,254.003,224.122,24.903,7.000
4.211,12.634,254.003,224.122,24.903,7.000
13.064,11.252,254.003,224.122,24.903,7.000
5.229,19.340,254.003,224.122,24.903,7.000
0.724,2.841,254.003,224.122,24.903,7.000
11.733,12.975,254.003,224.122,24.903,7.000
12.622,5.673,254.003,224.122,24.903,7.000
2.708,4.298,254.003,224.122,24.903,7.000
12.855,19.363,254.003,224.122,24.903,7.000
15.340,12.821,254.003,224.122,24.903,7.000
0.979,1.023,249.023,189.258,189.258,8.000
15.068,19.000,249.023,189.258,189.258,8.000
9.889,4.190,249.023,189.258,189.258,8.000
15.985,18.898,249.023,189.258,189.258,8.000
18.818,17.159,249.023,189.258,189.258,8.000
14.811,5.041,249.023,189.258,189.258,8.000
11.954,6.996,249.023,189.258,189.258,8.000
8.297,10.831,249.023,189.258,189.258,8.000
1.340,11.992,249.023,189.258,189.258,8.000
9.023,9.869,249.023,189.258,189.258,8.000
0.880,1.682,69.727,239.062,239.062,9.000
8.710,5.201,69.727,239.062,239.062,9.000
2.014,5.119,69.727,239.062,239.062,9.000
8.115,1.653,69.727,239.062,239.062,9.000
4.929,5.697,69.727,239.062,239.062,9.000
9.857,14.829,69.727,239.062,239.062,9.000
10.232,3.276,69.727,239.062,239.062,9.000
16.667,6.175,69.727,239.062,239.062,9.000
10.697,0.783,69.727,239.062,239.062,9.000
11.865,0.105,69.727,239.062,239.062,9.000
