xSOM,ySOM,R,G,B,label
12.982,19.112,169.335,109.571,39.844,-1.000
9.360,-0.178,169.335,109.571,39.844,-1.000
2.937,13.609,169.335,109.571,39.844,-1.000
5.916,17.400,169.335,109.571,39.844,-1.000
3.726,14.863,0.000,0.000,0.000,0.000
14.991,8.978,0.000,0.000,0.000,0.000
5.811,4.157,0.000,0.000,0.000,0.000
14.354,16.945,0.000,0.000,0.000,0.000
17.887,10.785,244.043,129.492,47.812,1.000
12.125,4.031,244.043,129.492,47.812,1.000
2.340,0.097,244.043,129.492,47.812,1.000
12.007,8.326,244.043,129.492,47.812,1.000
16.012,14.155,127.500,127.500,127.500,2.000
8.084,7.318,127.500,127.500,127.500,2.000
16.031,18.150,127.500,127.500,127.500,2.000
10.074,6.148,127.500,127.500,127.500,2.000
8.713,13.223,229.102,24.903,74.707,3.000
15.360,16.283,229.102,24.903,74.707,3.000
8.741,9.622,229.102,24.903,74.707,3.000
0.095,2.647,229.102,24.903,74.707,3.000
16.826,9.673,59.767,179.298,74.707,4.000
15.699,6.912,59.767,179.298,74.707,4.000
8.790,6.270,59.767,179.298,74.707,4.000
0.279,19.355,59.767,179.298,74.707,4.000
10.762,17.654,0.000,129.492,199.219,5.000
3.881,10.376,0.000,129.492,199.219,5.000
3.682,11.389,0.000,129.492,199.219,5.000
4.709,4.243,0.000,129.492,199.219,5.000
4.607,10.369,254.003,224.122,24.903,6.000
2.919,12.957,254.003,224.122,24.903,6.000
8.292,15.000,254.003,224.122,24.903,6.000
9.319,11.368,254.003,224.122,24.903,6.000
6.191,7.301,249.023,189.258,189.258,7.000
1.759,15.341,249.023,189.258,189.258,7.000
17.638,8.044,249.023,189.258,189.258,7.000
11.639,10.199,249.023,189.258,189.258,7.000
11.014,9.078,69.727,239.062,239.062,8.000
14.784,8.331,69.727,239.062,239.062,8.000
4.835,8.091,69.727,239.062,239.062,8.000
0.215,12.963,69.727,239.062,239.062,8.000
