xSOM,ySOM,R,G,B,label
14.000,7.000,0.000,0.000,0.000,0.000
13.000,8.000,0.000,0.000,0.000,0.000
19.000,3.000,0.000,0.000,0.000,0.000
10.000,3.000,0.000,0.000,0.000,0.000
14.000,12.000,0.000,0.000,0.000,0.000
18.000,6.000,0.000,0.000,0.000,0.000
6.000,8.000,0.000,0.000,0.000,0.000
16.000,11.000,0.000,0.000,0.000,0.000
19.000,0.000,0.000,0.000,0.000,0.000
10.000,0.000,0.000,0.000,0.000,0.000
14.000,5.000,244.043,129.492,47.812,1.000
14.000,5.000,244.043,129.492,47.812,1.000
8.000,10.000,244.043,129.492,47.812,1.000
9.000,8.000,244.043,129.492,47.812,1.000
17.000,5.000,244.043,129.492,47.812,1.000
13.000,1.000,244.043,129.492,47.812,1.000
16.000,11.000,244.043,129.492,47.812,1.000
9.000,8.000,244.043,129.492,47.812,1.000
15.000,11.000,244.043,129.492,47.812,1.000
19.000,6.000,244.043,129.492,47.812,1.000
19.000,17.000,127.500,127.500,127.500,2.000
6.000,2.000,127.500,127.500,127.500,2.000
13.000,18.000,127.500,127.500,127.500,2.000
12.000,1.000,127.500,127.500,127.500,2.000
1.000,5.000,127.500,127.500,127.500,2.000
2.000,10.000,127.500,127.500,127.500,2.000
19.000,18.000,127.500,127.500,127.500,2.000
5.000,1.000,127.500,127.500,127.500,2.000
4.000,0.000,127.500,127.500,127.500,2.000
0.000,3.000,127.500,127.500,127.500,2.000
5.000,8.000,229.102,24.903,74.707,3.000
1.000,5.000,229.102,24.903,74.707,3.000
1.000,9.000,229.102,24.903,74.707,3.000
5.000,7.000,229.102,24.903,74.707,3.000
6.000,11.000,229.102,24.903,74.707,3.000
9.000,10.000,229.102,24.903,74.707,3.000
0.000,5.000,229.102,24.903,74.707,3.000
4.000,15.000,229.102,24.903,74.707,3.000
1.000,4.000,229.102,24.903,74.707,3.000
0.000,9.000,229.102,24.903,74.707,3.000
12.000,7.000,59.767,179.298,74.707,4.000
17.000,13.000,59.767,179.298,74.707,4.000
8.000,17.000,59.767,179.298,74.707,4.000
18.000,0.000,59.767,179.298,74.707,4.000
10.000,14.000,59.767,179.298,74.707,4.000
8.000,17.000,59.767,179.298,74.707,4.000
10.000,6.000,59.767,179.298,74.707,4.000
10.000,8.000,59.767,179.298,74.707,4.000
8.000,4.000,59.767,179.298,74.707,4.000
9.000,5.000,59.767,179.298,74.707,4.000
13.000,7.000,0.000,129.492,199.219,5.000
6.000,6.000,0.000,129.492,199.219,5.000
6.000,3.000,0.000,129.492,199.219,5.000
4.000,5.000,0.000,129.492,199.219,5.000
16.000,7.000,0.000,129.492,199.219,5.000
13.000,9.000,0.000,129.492,199.219,5.000
12.000,6.000,0.000,129.492,199.219,5.000
13.000,9.000,0.000,129.492,199.219,5.000
15.000,7.000,0.000,129.492,199.219,5.000
4.000,7.000,0.000,129.492,199.219,5.000
0.000,13.000,254.003,224.122,24.903,6.000
1.000,13.000,254.003,224.122,24.903,6.000
1.000,14.000,254.003,224.122,24.903,6.000
0.000,12.000,254.003,224.122,24.903,6.000
17.000,9.000,254.003,224.122,24.903,6.000
3.000,4.000,254.003,224.122,24.903,6.000
18.000,11.000,254.003,224.122,24.903,6.000
17.000,10.000,254.003,224.122,24.903,6.000
1.000,15.000,254.003,224.122,24.903,6.000
1.000,15.000,254.003,224.122,24.903,6.000
8.000,1.000,249.023,189.258,189.258,7.000
10.000,2.000,249.023,189.258,189.258,7.000
9.000,3.000,249.023,189.258,189.258,7.000
5.000,9.000,249.023,189.258,189.258,7.000
14.000,4.000,249.023,189.258,189.258,7.000
11.000,10.000,249.023,189.258,189.258,7.000
9.000,1.000,249.023,189.258,189.258,7.000
10.000,2.000,249.023,189.258,189.258,7.000
10.000,1.000,249.023,189.258,189.258,7.000
9.000,3.000,249.023,189.258,189.258,7.000
3.000,12.000,69.727,239.062,239.062,8.000
6.000,13.000,69.727,239.062,239.062,8.000
3.000,11.000,69.727,239.062,239.062,8.000
2.000,3.000,69.727,239.062,239.062,8.000
13.000,5.000,69.727,239.062,239.062,8.000
8.000,8.000,69.727,239.062,239.062,8.000
6.000,6.000,69.727,239.062,239.062,8.000
7.000,0.000,69.727,239.062,239.062,8.000
10.000,10.000,69.727,239.062,239.062,8.000
8.000,11.000,69.727,239.062,239.062,8.000
6.000,8.000,169.335,109.571,39.844,9.000
10.000,3.000,169.335,109.571,39.844,9.000
11.000,11.000,169.335,109.571,39.844,9.000
11.000,3.000,169.335,109.571,39.844,9.000
14.000,4.000,169.335,109.571,39.844,9.000
10.000,14.000,169.335,109.571,39.844,9.000
9.000,2.000,169.335,109.571,39.844,9.000
10.000,13.000,169.335,109.571,39.844,9.000
8.000,4.000,169.335,109.571,39.844,9.000
0.000,10.000,169.335,109.571,39.844,9.000
