xRGB,yRGB,R,G,B
17.350,10.635,197.000,197.000,126.000
8.149,0.309,66.000,178.000,242.000
-0.124,4.154,94.000,42.000,146.000
3.865,14.260,224.000,2.000,251.000
5.854,8.932,138.000,100.000,230.000
17.255,1.262,128.000,195.000,148.000
14.624,16.210,94.000,191.000,33.000
5.958,3.729,51.000,104.000,162.000
2.960,18.679,24.000,13.000,218.000
18.713,18.680,112.000,240.000,69.000
1.848,17.622,147.000,60.000,158.000
17.605,18.602,247.000,219.000,99.000
8.991,14.943,132.000,133.000,125.000
16.621,4.941,60.000,224.000,119.000
-0.268,13.621,214.000,57.000,216.000
9.926,0.388,14.000,130.000,132.000
12.831,0.920,14.000,179.000,146.000
2.218,0.350,98.000,137.000,169.000
10.105,13.326,68.000,63.000,72.000
1.186,7.037,179.000,164.000,217.000
13.007,8.948,41.000,121.000,33.000
7.650,0.389,49.000,118.000,207.000
17.825,19.063,228.000,186.000,106.000
14.321,9.224,13.000,97.000,64.000
13.077,3.960,22.000,81.000,126.000
18.124,6.148,26.000,155.000,93.000
19.238,18.853,188.000,251.000,66.000
-0.254,13.930,200.000,51.000,216.000
17.662,10.926,82.000,177.000,86.000
1.335,4.240,36.000,162.000,242.000
17.888,0.681,6.000,146.000,90.000
10.308,18.771,196.000,154.000,173.000
1.868,6.925,82.000,32.000,253.000
19.090,13.742,99.000,182.000,10.000
0.134,17.246,182.000,17.000,185.000
10.065,18.809,210.000,224.000,209.000
9.861,18.766,233.000,207.000,191.000
9.931,9.232,66.000,62.000,116.000
19.138,13.114,113.000,130.000,42.000
9.671,18.668,177.000,202.000,248.000
11.732,17.380,119.000,200.000,168.000
12.182,6.969,57.000,48.000,31.000
9.739,17.879,63.000,242.000,209.000
19.278,18.358,227.000,141.000,85.000
-0.233,17.023,252.000,10.000,213.000
4.851,9.382,113.000,6.000,163.000
13.251,1.868,2.000,36.000,56.000
18.271,10.096,157.000,51.000,78.000
6.235,18.754,180.000,165.000,245.000
8.282,9.031,45.000,96.000,131.000
12.347,17.949,59.000,219.000,115.000
18.947,18.887,250.000,220.000,71.000
17.649,8.696,109.000,45.000,46.000
8.212,10.651,52.000,185.000,168.000
9.256,19.191,120.000,231.000,191.000
16.222,11.014,95.000,166.000,79.000
19.056,18.369,178.000,171.000,55.000
13.386,9.926,8.000,227.000,42.000
1.315,15.736,116.000,145.000,217.000
10.317,7.664,66.000,148.000,91.000
-0.305,10.838,134.000,94.000,158.000
18.360,1.238,60.000,71.000,26.000
18.648,2.312,72.000,98.000,58.000
0.186,0.934,83.000,25.000,234.000
1.312,18.791,230.000,170.000,246.000
5.721,0.086,69.000,2.000,143.000
7.757,19.289,143.000,204.000,228.000
0.291,11.363,154.000,89.000,171.000
14.744,19.393,175.000,234.000,131.000
9.093,0.329,117.000,11.000,103.000
18.781,18.234,254.000,166.000,10.000
7.931,11.032,27.000,153.000,214.000
10.143,19.287,123.000,241.000,157.000
-0.096,4.669,144.000,75.000,166.000
0.266,9.997,114.000,90.000,217.000
4.764,1.707,27.000,50.000,203.000
8.839,-0.117,28.000,17.000,158.000
19.357,0.309,30.000,90.000,26.000
2.687,1.807,79.000,43.000,160.000
9.779,12.254,12.000,236.000,253.000
18.013,18.939,227.000,232.000,164.000
13.102,-0.311,5.000,51.000,108.000
13.067,10.129,52.000,211.000,101.000
-0.011,5.180,190.000,4.000,135.000
-0.003,5.244,129.000,48.000,152.000
1.777,17.854,111.000,149.000,200.000
18.847,2.348,173.000,54.000,30.000
0.163,11.323,148.000,75.000,142.000
18.027,19.248,223.000,248.000,167.000
18.890,10.265,188.000,150.000,87.000
10.790,8.904,12.000,156.000,120.000
-0.291,4.893,215.000,48.000,95.000
8.767,-0.028,37.000,65.000,114.000
18.735,0.345,121.000,17.000,51.000
-0.246,5.215,166.000,8.000,79.000
18.839,17.919,199.000,138.000,47.000
11.067,5.790,57.000,116.000,109.000
18.965,13.825,155.000,178.000,11.000
9.397,18.664,159.000,213.000,225.000
8.610,9.646,27.000,150.000,167.000
0.024,5.132,252.000,62.000,155.000
14.961,7.994,58.000,136.000,75.000
13.009,1.903,12.000,102.000,80.000
-0.043,5.060,240.000,29.000,108.000
8.652,19.176,154.000,212.000,215.000
10.717,9.995,67.000,173.000,134.000
6.334,13.290,35.000,163.000,211.000
0.890,19.046,150.000,175.000,180.000
14.306,8.982,21.000,225.000,94.000
9.200,2.672,85.000,154.000,111.000
14.787,18.899,149.000,157.000,130.000
6.137,12.742,1.000,209.000,216.000
-0.031,5.342,182.000,82.000,137.000
18.860,0.150,81.000,62.000,68.000
-0.058,5.080,244.000,94.000,99.000
18.926,9.714,76.000,171.000,74.000
19.051,11.887,80.000,216.000,32.000
5.679,13.376,8.000,235.000,207.000
3.654,14.239,82.000,155.000,186.000
8.155,-0.246,142.000,89.000,61.000
5.181,0.130,166.000,65.000,40.000
4.117,18.737,82.000,222.000,242.000
-0.339,10.731,80.000,84.000,245.000
8.994,0.042,122.000,77.000,93.000
19.309,2.053,16.000,125.000,95.000
8.674,9.360,130.000,150.000,139.000
15.262,1.174,68.000,119.000,98.000
-0.008,9.253,130.000,42.000,250.000
4.967,0.198,236.000,104.000,62.000
18.683,12.237,34.000,245.000,1.000
9.075,18.114,190.000,202.000,187.000
19.131,-0.077,84.000,104.000,17.000
19.314,17.295,100.000,201.000,38.000
4.844,-0.336,248.000,91.000,58.000
-0.025,0.690,249.000,2.000,102.000
0.282,9.054,221.000,81.000,219.000
9.392,14.019,122.000,155.000,174.000
5.196,-0.215,236.000,13.000,4.000
3.670,10.101,202.000,144.000,210.000
-0.369,18.673,79.000,132.000,219.000
2.714,0.754,213.000,60.000,108.000
0.355,3.357,180.000,31.000,130.000
-0.308,12.356,65.000,86.000,182.000
-0.088,11.292,115.000,42.000,227.000
13.269,0.364,166.000,48.000,28.000
6.790,3.741,183.000,51.000,107.000
4.307,1.849,169.000,15.000,104.000
14.866,9.964,79.000,176.000,115.000
11.929,19.018,67.000,209.000,151.000
9.245,19.282,58.000,188.000,219.000
13.073,18.718,96.000,230.000,165.000
5.899,9.672,138.000,104.000,168.000
11.072,18.798,94.000,226.000,200.000
0.622,2.283,242.000,55.000,197.000
11.298,-0.016,146.000,9.000,74.000
18.157,11.024,149.000,205.000,79.000
18.865,5.098,103.000,137.000,67.000
0.002,11.702,91.000,16.000,223.000
18.903,15.089,31.000,215.000,105.000
19.349,19.165,167.000,236.000,109.000
3.307,0.012,202.000,4.000,124.000
6.872,18.715,49.000,174.000,215.000
19.247,0.923,45.000,75.000,131.000
19.371,9.397,80.000,170.000,48.000
16.778,18.685,227.000,221.000,144.000
19.121,8.996,20.000,219.000,24.000
18.860,11.190,124.000,237.000,14.000
0.330,18.182,6.000,64.000,205.000
-0.025,0.075,230.000,69.000,107.000
5.638,9.705,156.000,93.000,210.000
3.799,2.900,171.000,6.000,145.000
19.216,0.976,67.000,143.000,60.000
13.621,-0.084,122.000,104.000,57.000
14.388,0.399,16.000,0.000,26.000
1.099,1.685,243.000,115.000,178.000
10.256,11.031,93.000,150.000,150.000
-0.181,-0.176,239.000,111.000,94.000
19.117,18.854,251.000,236.000,80.000
18.863,12.937,160.000,185.000,59.000
7.082,19.045,66.000,174.000,240.000
18.656,9.189,7.000,213.000,64.000
9.080,-0.246,169.000,123.000,2.000
10.790,10.384,29.000,150.000,128.000
-0.019,13.395,49.000,39.000,233.000
19.272,3.080,19.000,145.000,12.000
7.916,18.904,85.000,156.000,218.000
15.388,-0.113,87.000,124.000,37.000
15.901,19.101,191.000,187.000,218.000
17.675,18.829,229.000,246.000,139.000
8.742,0.898,109.000,67.000,79.000
1.674,1.024,188.000,151.000,83.000
0.169,11.611,71.000,16.000,180.000
14.976,9.354,29.000,141.000,109.000
-0.256,10.747,89.000,21.000,207.000
0.004,7.732,155.000,43.000,211.000
9.876,19.362,240.000,124.000,242.000
18.809,0.848,7.000,124.000,52.000
-0.339,11.397,172.000,2.000,230.000
8.067,2.036,141.000,140.000,84.000
18.673,14.048,142.000,254.000,43.000
19.105,8.652,23.000,241.000,16.000
6.259,0.112,179.000,157.000,64.000
5.633,19.377,4.000,203.000,237.000
13.769,-0.396,61.000,26.000,26.000
19.095,8.802,84.000,191.000,31.000
11.662,8.345,65.000,155.000,52.000
12.093,-0.056,103.000,76.000,36.000
3.107,11.037,73.000,72.000,174.000
5.671,-0.090,178.000,71.000,6.000
14.244,0.020,76.000,29.000,50.000
18.222,8.773,64.000,160.000,35.000
9.820,18.618,170.000,174.000,238.000
15.875,19.115,197.000,251.000,226.000
0.133,19.136,31.000,91.000,187.000
10.354,11.645,32.000,225.000,176.000
6.977,18.239,109.000,146.000,237.000
3.870,1.934,144.000,60.000,74.000
-0.183,6.721,113.000,57.000,121.000
3.786,-0.075,222.000,14.000,12.000
1.871,0.339,228.000,145.000,30.000
-0.171,11.309,194.000,68.000,192.000
0.112,17.175,100.000,56.000,221.000
18.605,18.980,198.000,208.000,116.000
-0.114,19.115,19.000,62.000,216.000
18.611,6.861,116.000,166.000,3.000
15.794,15.904,146.000,169.000,122.000
0.003,10.186,72.000,6.000,178.000
10.282,12.042,25.000,244.000,205.000
19.302,-0.123,9.000,56.000,11.000
0.286,8.349,222.000,7.000,186.000
1.189,-0.269,250.000,141.000,92.000
4.614,0.205,245.000,20.000,47.000
5.010,-0.082,243.000,2.000,34.000
0.081,9.651,174.000,8.000,204.000
-0.320,8.849,166.000,47.000,177.000
6.031,19.057,28.000,142.000,250.000
10.158,2.732,177.000,59.000,49.000
-0.323,19.301,20.000,34.000,126.000
7.962,12.685,113.000,111.000,253.000
11.224,13.231,7.000,223.000,218.000
9.815,14.040,38.000,193.000,247.000
10.350,3.139,220.000,157.000,7.000
0.163,19.206,11.000,99.000,167.000
19.337,8.916,31.000,245.000,22.000
12.762,0.279,146.000,3.000,8.000
15.963,8.728,34.000,100.000,99.000
5.109,-0.064,241.000,6.000,10.000
17.652,6.091,3.000,63.000,67.000
19.110,18.839,245.000,247.000,73.000
-0.085,8.791,202.000,100.000,184.000
1.950,8.052,197.000,84.000,147.000
18.931,1.615,5.000,31.000,12.000
9.703,11.122,94.000,125.000,139.000
0.086,10.701,130.000,41.000,189.000
10.734,12.877,33.000,130.000,144.000
14.080,0.076,59.000,23.000,42.000
10.352,17.229,76.000,156.000,173.000
19.227,18.709,238.000,249.000,220.000
-0.104,19.189,36.000,34.000,201.000
11.216,13.680,66.000,221.000,143.000
9.225,18.633,12.000,191.000,224.000
3.337,0.381,229.000,130.000,43.000
19.061,14.956,127.000,163.000,171.000
19.047,10.162,99.000,194.000,66.000
-0.368,19.371,23.000,12.000,207.000
1.733,9.034,173.000,130.000,184.000
0.212,1.606,183.000,1.000,132.000
5.842,9.835,140.000,147.000,209.000
10.002,-0.333,186.000,124.000,4.000
11.119,5.020,173.000,183.000,59.000
13.800,0.320,122.000,1.000,51.000
0.330,17.863,72.000,82.000,205.000
0.220,9.905,146.000,13.000,173.000
6.196,9.937,225.000,155.000,248.000
4.876,8.737,206.000,128.000,217.000
19.328,19.067,162.000,247.000,84.000
18.739,5.382,78.000,63.000,89.000
18.843,9.348,83.000,145.000,96.000
13.671,-0.013,115.000,46.000,94.000
0.399,18.658,80.000,42.000,167.000
5.735,9.837,206.000,160.000,242.000
-0.077,19.127,83.000,22.000,211.000
9.694,0.229,205.000,87.000,5.000
19.032,4.902,92.000,61.000,85.000
-0.020,19.057,9.000,36.000,151.000
-0.038,-0.177,196.000,6.000,123.000
19.178,18.607,210.000,235.000,171.000
0.266,2.084,145.000,13.000,182.000
0.324,9.740,129.000,59.000,168.000
-0.136,18.723,49.000,1.000,109.000
18.893,17.895,163.000,206.000,130.000
10.965,19.127,95.000,217.000,226.000
-0.232,0.877,188.000,16.000,174.000
1.187,19.335,12.000,31.000,219.000
10.774,19.374,81.000,226.000,236.000
-0.142,0.058,203.000,32.000,160.000
10.037,-0.151,148.000,99.000,13.000
6.350,9.961,179.000,160.000,179.000
11.337,18.614,33.000,199.000,170.000
9.158,0.330,169.000,54.000,86.000
3.979,8.841,198.000,102.000,188.000
18.686,14.827,115.000,205.000,150.000
0.015,9.687,144.000,48.000,194.000
11.945,8.737,193.000,157.000,143.000
18.951,16.309,100.000,216.000,115.000
10.837,17.700,145.000,221.000,207.000
6.267,19.223,38.000,184.000,166.000
-0.048,16.000,99.000,70.000,207.000
-0.365,18.624,71.000,4.000,208.000
18.975,8.001,5.000,151.000,91.000
0.601,6.132,195.000,84.000,184.000
0.027,18.909,84.000,10.000,167.000
11.714,2.281,143.000,117.000,52.000
12.253,3.663,134.000,107.000,98.000
15.745,18.063,250.000,252.000,187.000
2.933,13.268,113.000,71.000,186.000
16.642,9.628,211.000,189.000,60.000
18.837,-0.067,62.000,49.000,98.000
5.675,19.000,43.000,143.000,232.000
-0.383,0.308,206.000,24.000,143.000
8.850,0.018,210.000,58.000,70.000
