xRGB,yRGB,R,G,B
18,11,197,197,126
6,4,66,178,242
12,1,94,42,146
18,1,224,2,251
1,4,138,100,230
1,19,128,195,148
18,11,94,191,33
8,10,51,104,162
3,7,24,13,218
16,1,112,240,69
16,16,147,60,158
1,2,247,219,99
11,2,132,133,125
5,5,60,224,119
16,18,214,57,216
8,8,14,130,132
10,3,14,179,146
7,5,98,137,169
9,5,68,63,72
14,11,179,164,217
5,7,41,121,33
10,8,49,118,207
13,3,228,186,106
9,12,13,97,64
0,19,22,81,126
9,2,26,155,93
12,6,188,251,66
8,5,200,51,216
3,4,82,177,86
14,10,36,162,242
12,18,6,146,90
0,4,196,154,173
7,16,82,32,253
5,8,99,182,10
7,16,182,17,185
8,11,210,224,209
11,14,233,207,191
1,0,66,62,116
13,16,113,130,42
12,17,177,202,248
3,17,119,200,168
17,6,57,48,31
6,1,63,242,209
4,10,227,141,85
1,10,252,10,213
14,13,113,6,163
16,13,2,36,56
4,7,157,51,78
12,6,180,165,245
12,6,45,96,131
1,17,59,219,115
19,15,250,220,71
6,0,109,45,46
13,11,52,185,168
9,14,120,231,191
2,17,95,166,79
10,19,178,171,55
16,2,8,227,42
19,18,116,145,217
17,15,66,148,91
17,16,134,94,158
16,11,60,71,26
3,8,72,98,58
13,8,83,25,234
0,2,230,170,246
9,9,69,2,143
13,3,143,204,228
15,10,154,89,171
7,9,175,234,131
2,17,117,11,103
15,16,254,166,10
16,1,27,153,214
11,16,123,241,157
10,13,144,75,166
3,16,114,90,217
18,2,27,50,203
3,17,28,17,158
12,18,30,90,26
17,5,79,43,160
8,6,12,236,253
11,19,227,232,164
14,18,5,51,108
14,17,52,211,101
13,5,190,4,135
1,3,129,48,152
1,9,111,149,200
19,1,173,54,30
14,3,148,75,142
1,15,223,248,167
11,13,188,150,87
9,10,12,156,120
5,19,215,48,95
7,17,37,65,114
9,1,121,17,51
12,6,166,8,79
2,3,199,138,47
16,6,57,116,109
10,16,155,178,11
13,18,159,213,225
10,16,27,150,167
0,12,252,62,155
10,14,58,136,75
8,18,12,102,80
7,3,240,29,108
3,3,154,212,215
4,1,67,173,134
19,19,35,163,211
3,11,150,175,180
19,3,21,225,94
16,18,85,154,111
7,15,149,157,130
0,5,1,209,216
3,9,182,82,137
15,7,81,62,68
14,10,244,94,99
13,0,76,171,74
19,8,80,216,32
12,14,8,235,207
12,18,82,155,186
12,3,142,89,61
12,4,166,65,40
6,8,82,222,242
17,10,80,84,245
6,19,122,77,93
0,12,16,125,95
1,17,130,150,139
13,3,68,119,98
9,9,130,42,250
9,10,236,104,62
8,8,34,245,1
5,14,190,202,187
2,12,84,104,17
19,13,100,201,38
6,11,248,91,58
0,12,249,2,102
1,1,221,81,219
17,19,122,155,174
16,4,236,13,4
17,12,202,144,210
2,5,79,132,219
19,15,213,60,108
15,5,180,31,130
2,1,65,86,182
5,17,115,42,227
10,8,166,48,28
9,13,183,51,107
9,6,169,15,104
16,13,79,176,115
16,17,67,209,151
4,3,58,188,219
17,13,96,230,165
7,0,138,104,168
6,18,94,226,200
13,17,242,55,197
19,15,146,9,74
17,16,149,205,79
1,13,103,137,67
17,7,91,16,223
19,2,31,215,105
3,3,167,236,109
12,14,202,4,124
4,14,49,174,215
16,14,45,75,131
17,17,80,170,48
