xRGB,yRGB,R,G,B
15.233,14.698,64.000,129.000,213.000
9.278,12.629,119.000,119.000,76.000
12.970,3.607,220.000,252.000,53.000
9.132,10.026,155.000,137.000,62.000
8.085,6.867,189.000,110.000,6.000
5.276,0.811,37.000,137.000,202.000
10.998,8.796,233.000,234.000,158.000
4.012,18.941,147.000,23.000,168.000
0.904,19.227,177.000,180.000,148.000
15.710,18.751,204.000,121.000,69.000
4.874,17.997,115.000,73.000,1.000
7.300,8.738,7.000,109.000,25.000
5.651,4.169,172.000,12.000,43.000
14.924,6.709,245.000,38.000,164.000
0.092,8.840,129.000,66.000,209.000
5.983,3.634,40.000,250.000,222.000
3.324,3.089,198.000,176.000,37.000
5.168,10.163,126.000,215.000,53.000
11.131,15.376,124.000,44.000,136.000
17.344,11.004,81.000,59.000,211.000
1.029,2.259,34.000,32.000,128.000
2.804,1.848,47.000,5.000,96.000
17.651,9.892,14.000,219.000,103.000
7.237,16.389,207.000,48.000,180.000
3.931,6.125,157.000,19.000,92.000
6.934,15.212,147.000,47.000,13.000
7.122,19.081,215.000,126.000,14.000
16.924,6.029,32.000,193.000,87.000
11.901,2.276,164.000,121.000,170.000
11.867,7.238,14.000,170.000,30.000
14.305,13.781,200.000,242.000,24.000
2.013,8.262,60.000,90.000,186.000
16.860,13.929,236.000,11.000,40.000
11.099,4.294,150.000,63.000,57.000
14.326,16.836,14.000,219.000,152.000
16.277,4.857,86.000,143.000,40.000
19.075,5.357,196.000,18.000,9.000
-0.333,15.065,67.000,219.000,236.000
8.229,9.988,204.000,13.000,179.000
5.399,6.157,132.000,109.000,156.000
3.128,5.260,72.000,236.000,97.000
4.957,8.280,129.000,167.000,76.000
0.020,18.078,131.000,121.000,94.000
19.084,14.380,44.000,211.000,131.000
16.872,19.367,47.000,182.000,107.000
11.959,4.927,239.000,165.000,127.000
-0.317,7.338,147.000,231.000,91.000
11.894,10.339,73.000,156.000,128.000
14.053,5.626,27.000,105.000,217.000
11.190,5.205,196.000,136.000,32.000
17.602,14.787,27.000,171.000,167.000
19.138,16.046,164.000,254.000,143.000
