xRGB,yRGB,R,G,B
5,11,175,21,173
5,0,233,148,155
18,17,133,237,91
17,2,3,132,77
10,9,11,10,70
1,0,231,155,112
5,0,220,249,150
16,19,181,246,25
3,16,89,35,104
8,7,205,174,232
17,3,97,110,180
12,19,38,183,44
0,1,234,165,88
0,1,247,115,50
10,10,47,172,138
17,3,46,135,194
0,11,228,84,227
19,5,41,82,220
9,0,97,134,162
7,10,226,216,217
0,1,198,98,12
0,5,222,90,23
9,0,144,153,107
5,19,228,187,164
19,15,103,181,67
1,10,206,54,150
15,19,16,97,11
10,14,53,7,23
12,4,217,254,85
2,0,173,132,112
2,0,53,137,214
5,11,170,113,100
15,14,81,22,43
1,2,137,80,217
8,9,173,32,144
1,3,238,43,209
19,0,113,160,137
19,9,14,180,55
0,13,217,35,93
16,3,57,190,50
10,12,49,121,151
6,5,127,198,219
18,18,110,115,54
1,16,148,20,160
0,6,217,211,159
11,19,46,71,66
2,6,212,214,157
11,12,30,101,87
18,19,51,40,4
2,17,90,79,148
19,0,62,163,73
18,19,16,17,0
19,6,92,165,20
9,7,30,152,96
9,19,24,17,52
0,14,55,45,162
19,6,145,182,45
0,0,234,103,191
10,10,69,152,64
1,6,196,53,50
14,19,45,83,70
10,0,87,191,152
0,16,38,5,221
19,4,234,246,159
9,10,178,122,22
9,3,160,142,49
0,14,170,95,181
19,14,17,206,66
4,19,135,7,212
6,9,218,136,152
18,4,219,190,92
14,19,37,154,85
5,16,102,187,240
18,10,157,245,0
16,18,144,198,35
0,19,70,53,241
0,7,240,63,215
8,14,37,166,185
0,0,159,22,172
0,7,148,16,254
0,19,86,139,218
10,4,241,193,249
17,11,4,207,80
1,0,165,0,204
19,19,43,155,29
8,14,20,189,175
14,3,76,236,135
4,1,137,40,141
7,14,6,209,215
5,1,35,17,71
0,7,70,13,178
13,5,79,93,30
19,0,145,187,113
19,13,30,248,19
0,19,84,176,233
10,3,139,111,58
3,10,45,62,227
1,0,74,67,94
19,4,176,187,8
0,9,1,7,133
10,8,138,68,197
4,0,7,89,77
16,0,153,179,23
11,8,248,8,48
16,19,13,180,40
17,0,142,237,112
19,14,59,232,5
6,0,109,22,74
15,4,216,207,218
7,9,203,96,175
15,14,237,196,30
6,19,77,203,214
0,12,91,94,198
3,0,171,16,81
16,18,214,142,4
9,10,41,122,86
12,0,251,73,99
19,7,202,228,212
0,7,52,15,124
9,8,103,27,2
12,0,239,42,89
19,6,222,39,248
16,16,159,246,140
0,17,72,51,249
3,8,41,53,146
6,0,88,71,41
13,7,223,167,124
0,12,4,3,165
9,0,232,74,72
18,0,222,35,164
9,15,106,23,191
0,19,27,42,219
19,19,93,203,7
12,17,5,160,51
7,9,46,83,78
1,1,189,77,76
19,10,114,238,76
19,10,153,234,25
10,16,44,96,39
11,0,217,41,107
0,15,107,186,181
19,0,205,60,187
1,10,185,214,161
19,19,59,220,50
11,6,229,104,92
0,16,172,230,217
10,15,107,37,123
0,6,120,221,144
1,0,129,181,87
14,8,157,21,116
19,0,153,30,192
19,11,192,51,17
10,17,6,3,151
1,0,93,140,89
0,10,122,246,89
17,4,205,53,67
7,3,124,86,120
0,10,195,225,19
2,0,122,91,103
10,11,77,162,232
10,18,15,139,226
1,14,157,185,133
12,0,110,11,127
15,10,79,115,249
9,19,58,200,133
9,19,42,154,83
19,1,170,23,31
18,4,163,80,22
6,9,97,159,207
9,0,144,92,168
19,19,18,25,164
9,18,3,183,161
6,9,54,144,176
16,0,237,18,154
16,10,88,51,113
9,19,50,237,175
19,1,175,48,30
9,4,145,21,142
15,11,92,14,141
0,14,124,193,151
9,14,93,149,31
19,2,114,39,2
0,18,246,231,83
0,9,205,188,203
0,8,185,248,253
10,19,54,224,75
9,0,171,41,123
19,16,98,139,97
10,19,5,162,187
10,10,23,192,123
19,14,131,133,123
4,11,94,254,68
18,3,195,47,21
1,2,191,201,115
11,0,201,16,179
8,5,156,68,233
19,5,199,33,85
10,19,2,117,227
19,15,74,120,9
11,9,226,84,131
3,9,202,86,150
11,19,35,85,105
2,16,97,133,119
19,3,167,38,70
1,19,75,166,207
6,10,126,106,99
17,0,205,3,66
7,0,37,47,250
1,18,215,166,188
10,15,144,219,110
19,18,20,212,112
2,17,211,211,96
6,8,108,171,133
16,3,44,6,43
17,12,33,82,58
8,7,126,47,77
11,19,72,205,75
17,12,33,140,11
0,1,153,102,190
6,11,159,142,11
9,6,197,100,17
0,0,198,48,240
1,19,238,197,42
18,2,15,78,197
9,0,83,53,219
10,19,138,245,39
4,9,174,124,75
14,19,107,251,71
18,11,24,233,101
1,19,185,251,100
6,10,125,65,21
13,3,110,170,114
19,0,10,65,142
0,19,235,228,162
6,9,89,96,95
9,0,117,206,181
9,18,233,215,16
0,16,219,156,88
9,0,226,223,202
0,3,122,42,69
0,8,146,49,40
3,17,223,129,60
16,10,100,206,100
9,4,151,149,111
19,2,27,167,185
19,18,44,157,2
6,0,134,109,147
19,0,9,115,145
14,8,36,135,216
10,0,43,131,185
10,17,112,245,87
19,16,82,160,85
0,19,247,95,129
9,17,207,177,121
0,7,125,48,106
