xRGB,yRGB,R,G,B
5.372,10.973,175.000,21.000,173.000
4.904,0.110,233.000,148.000,155.000
17.941,16.878,133.000,237.000,91.000
17.132,1.911,3.000,132.000,77.000
9.636,8.934,11.000,10.000,70.000
1.019,0.338,231.000,155.000,112.000
4.956,0.156,220.000,249.000,150.000
15.771,18.981,181.000,246.000,25.000
3.011,15.947,89.000,35.000,104.000
7.662,6.631,205.000,174.000,232.000
17.326,2.651,97.000,110.000,180.000
11.768,18.743,38.000,183.000,44.000
0.378,0.890,234.000,165.000,88.000
-0.082,1.353,247.000,115.000,50.000
10.044,9.612,47.000,172.000,138.000
16.765,3.326,46.000,135.000,194.000
-0.152,11.199,228.000,84.000,227.000
19.107,5.018,41.000,82.000,220.000
8.797,0.286,97.000,134.000,162.000
6.918,10.183,226.000,216.000,217.000
0.115,0.667,198.000,98.000,12.000
0.064,5.036,222.000,90.000,23.000
8.732,-0.113,144.000,153.000,107.000
4.664,18.792,228.000,187.000,164.000
18.855,14.980,103.000,181.000,67.000
1.041,9.887,206.000,54.000,150.000
15.096,18.792,16.000,97.000,11.000
10.139,14.292,53.000,7.000,23.000
12.040,3.838,217.000,254.000,85.000
2.049,0.257,173.000,132.000,112.000
2.186,0.314,53.000,137.000,214.000
4.847,11.296,170.000,113.000,100.000
15.021,14.133,81.000,22.000,43.000
0.708,2.274,137.000,80.000,217.000
8.054,9.184,173.000,32.000,144.000
1.006,2.998,238.000,43.000,209.000
19.225,0.010,113.000,160.000,137.000
18.760,8.886,14.000,180.000,55.000
-0.282,13.398,217.000,35.000,93.000
16.317,3.248,57.000,190.000,50.000
9.892,12.069,49.000,121.000,151.000
5.860,5.072,127.000,198.000,219.000
17.859,17.718,110.000,115.000,54.000
0.756,15.672,148.000,20.000,160.000
-0.060,5.758,217.000,211.000,159.000
11.318,19.122,46.000,71.000,66.000
1.896,6.212,212.000,214.000,157.000
10.890,11.741,30.000,101.000,87.000
18.389,18.854,51.000,40.000,4.000
1.968,17.175,90.000,79.000,148.000
18.980,-0.245,62.000,163.000,73.000
18.361,19.169,16.000,17.000,0.000
19.097,6.260,92.000,165.000,20.000
8.617,6.626,30.000,152.000,96.000
9.090,18.628,24.000,17.000,52.000
-0.280,13.713,55.000,45.000,162.000
18.704,5.801,145.000,182.000,45.000
0.085,-0.378,234.000,103.000,191.000
10.043,10.318,69.000,152.000,64.000
1.326,6.048,196.000,53.000,50.000
14.377,19.374,45.000,83.000,70.000
9.700,-0.042,87.000,191.000,152.000
-0.261,16.216,38.000,5.000,221.000
19.269,4.323,234.000,246.000,159.000
9.329,9.826,178.000,122.000,22.000
8.642,3.231,160.000,142.000,49.000
0.125,13.808,170.000,95.000,181.000
19.225,13.997,17.000,206.000,66.000
4.133,18.887,135.000,7.000,212.000
6.165,9.195,218.000,136.000,152.000
18.150,3.845,219.000,190.000,92.000
13.860,18.874,37.000,154.000,85.000
5.390,16.355,102.000,187.000,240.000
17.822,9.937,157.000,245.000,0.000
16.286,18.346,144.000,198.000,35.000
-0.206,19.057,70.000,53.000,241.000
-0.164,7.022,240.000,63.000,215.000
8.039,13.737,37.000,166.000,185.000
-0.092,0.145,159.000,22.000,172.000
0.186,7.285,148.000,16.000,254.000
-0.395,19.202,86.000,139.000,218.000
10.082,4.352,241.000,193.000,249.000
17.393,11.067,4.000,207.000,80.000
1.166,0.335,165.000,0.000,204.000
19.154,18.982,43.000,155.000,29.000
8.063,13.699,20.000,189.000,175.000
13.733,2.816,76.000,236.000,135.000
3.867,0.804,137.000,40.000,141.000
7.326,14.203,6.000,209.000,215.000
4.673,1.002,35.000,17.000,71.000
0.396,6.886,70.000,13.000,178.000
12.635,5.397,79.000,93.000,30.000
18.790,0.276,145.000,187.000,113.000
18.676,13.019,30.000,248.000,19.000
-0.067,18.707,84.000,176.000,233.000
9.860,3.059,139.000,111.000,58.000
2.898,9.642,45.000,62.000,227.000
1.338,-0.278,74.000,67.000,94.000
18.608,4.162,176.000,187.000,8.000
-0.204,9.301,1.000,7.000,133.000
10.101,8.156,138.000,68.000,197.000
