xRGB,yRGB,R,G,B
13,4,175,21,173
4,7,233,148,155
2,3,133,237,91
14,14,3,132,77
18,17,11,10,70
9,19,231,155,112
10,11,220,249,150
13,11,181,246,25
1,11,89,35,104
15,18,205,174,232
4,3,97,110,180
4,9,38,183,44
15,14,234,165,88
8,17,247,115,50
0,7,47,172,138
9,14,46,135,194
1,14,228,84,227
11,8,41,82,220
0,0,97,134,162
10,4,226,216,217
5,11,198,98,12
8,5,222,90,23
14,1,144,153,107
10,17,228,187,164
7,18,103,181,67
6,16,206,54,150
4,9,16,97,11
17,10,53,7,23
10,14,217,254,85
6,12,173,132,112
17,9,53,137,214
4,6,170,113,100
6,18,81,22,43
2,6,137,80,217
10,13,173,32,144
18,19,238,43,209
8,10,113,160,137
8,11,14,180,55
13,14,217,35,93
18,0,57,190,50
16,13,49,121,151
3,4,127,198,219
6,0,110,115,54
16,3,148,20,160
5,19,217,211,159
1,0,46,71,66
14,9,212,214,157
15,17,30,101,87
15,9,51,40,4
9,3,90,79,148
9,10,62,163,73
15,0,16,17,0
10,10,92,165,20
3,1,30,152,96
4,2,24,17,52
8,5,55,45,162
18,5,145,182,45
2,12,234,103,191
15,4,69,152,64
10,14,196,53,50
4,4,45,83,70
11,11,87,191,152
19,16,38,5,221
19,16,234,246,159
3,7,178,122,22
18,16,160,142,49
7,0,170,95,181
17,13,17,206,66
11,7,135,7,212
11,3,218,136,152
5,15,219,190,92
12,9,37,154,85
7,16,102,187,240
13,14,157,245,0
7,13,144,198,35
5,11,70,53,241
17,1,240,63,215
19,3,37,166,185
11,15,159,22,172
1,18,148,16,254
0,17,86,139,218
19,13,241,193,249
0,15,4,207,80
4,4,165,0,204
3,5,43,155,29
2,16,20,189,175
7,14,76,236,135
10,17,137,40,141
5,2,6,209,215
0,19,35,17,71
14,3,70,13,178
10,5,79,93,30
4,10,145,187,113
6,8,30,248,19
8,10,84,176,233
17,4,139,111,58
1,2,45,62,227
13,5,74,67,94
0,3,176,187,8
7,13,1,7,133
6,7,138,68,197
12,16,7,89,77
12,8,153,179,23
13,14,248,8,48
15,13,13,180,40
5,11,142,237,112
16,5,59,232,5
18,18,109,22,74
3,5,216,207,218
9,5,203,96,175
17,19,237,196,30
11,16,77,203,214
1,15,91,94,198
9,15,171,16,81
6,19,214,142,4
14,0,41,122,86
8,16,251,73,99
17,16,202,228,212
2,11,52,15,124
5,5,103,27,2
15,18,239,42,89
3,2,222,39,248
8,10,159,246,140
11,5,72,51,249
6,15,41,53,146
1,7,88,71,41
13,15,223,167,124
19,14,4,3,165
1,5,232,74,72
15,9,222,35,164
15,18,106,23,191
4,8,27,42,219
18,12,93,203,7
19,8,5,160,51
10,19,46,83,78
12,12,189,77,76
7,8,114,238,76
19,2,153,234,25
1,2,44,96,39
14,10,217,41,107
7,16,107,186,181
7,6,205,60,187
16,3,185,214,161
13,11,59,220,50
5,6,229,104,92
13,7,172,230,217
11,12,107,37,123
7,4,120,221,144
0,13,129,181,87
9,13,157,21,116
9,13,153,30,192
11,6,192,51,17
3,14,6,3,151
19,8,93,140,89
9,0,122,246,89
8,0,205,53,67
13,11,124,86,120
10,1,195,225,19
17,10,122,91,103
3,9,77,162,232
11,1,15,139,226
6,2,157,185,133
5,13,110,11,127
3,16,79,115,249
7,1,58,200,133
6,0,42,154,83
1,5,170,23,31
8,11,163,80,22
14,9,97,159,207
17,3,144,92,168
14,0,18,25,164
2,4,3,183,161
16,19,54,144,176
4,19,237,18,154
5,3,88,51,113
18,8,50,237,175
9,16,175,48,30
5,1,145,21,142
17,5,92,14,141
10,14,124,193,151
4,6,93,149,31
5,5,114,39,2
2,6,246,231,83
6,0,205,188,203
18,18,185,248,253
1,16,54,224,75
12,14,171,41,123
16,17,98,139,97
6,11,5,162,187
16,12,23,192,123
9,17,131,133,123
4,19,94,254,68
19,18,195,47,21
14,8,191,201,115
12,4,201,16,179
5,13,156,68,233
15,8,199,33,85
1,5,2,117,227
15,4,74,120,9
11,16,226,84,131
7,6,202,86,150
5,1,35,85,105
8,6,97,133,119
12,15,167,38,70
10,14,75,166,207
12,13,126,106,99
14,5,205,3,66
11,19,37,47,250
