xRGB,yRGB,R,G,B
13.372,3.973,175.000,21.000,173.000
3.904,7.110,233.000,148.000,155.000
1.941,2.878,133.000,237.000,91.000
14.132,13.911,3.000,132.000,77.000
17.636,16.934,11.000,10.000,70.000
9.019,19.338,231.000,155.000,112.000
9.956,11.156,220.000,249.000,150.000
12.771,10.981,181.000,246.000,25.000
1.011,10.947,89.000,35.000,104.000
14.662,17.631,205.000,174.000,232.000
4.326,2.651,97.000,110.000,180.000
3.768,8.743,38.000,183.000,44.000
15.378,13.890,234.000,165.000,88.000
7.918,17.353,247.000,115.000,50.000
0.044,6.612,47.000,172.000,138.000
8.765,14.326,46.000,135.000,194.000
0.848,14.199,228.000,84.000,227.000
11.107,8.018,41.000,82.000,220.000
-0.203,0.286,97.000,134.000,162.000
9.918,4.183,226.000,216.000,217.000
5.115,10.667,198.000,98.000,12.000
8.064,5.036,222.000,90.000,23.000
13.732,0.887,144.000,153.000,107.000
9.664,16.792,228.000,187.000,164.000
6.855,17.980,103.000,181.000,67.000
6.041,15.887,206.000,54.000,150.000
4.096,8.792,16.000,97.000,11.000
17.139,10.292,53.000,7.000,23.000
10.040,13.838,217.000,254.000,85.000
6.049,12.257,173.000,132.000,112.000
17.186,9.314,53.000,137.000,214.000
3.847,6.296,170.000,113.000,100.000
6.021,18.133,81.000,22.000,43.000
1.708,6.274,137.000,80.000,217.000
10.054,13.184,173.000,32.000,144.000
18.006,18.998,238.000,43.000,209.000
8.225,10.010,113.000,160.000,137.000
7.760,10.886,14.000,180.000,55.000
12.718,14.398,217.000,35.000,93.000
18.317,0.248,57.000,190.000,50.000
15.892,13.069,49.000,121.000,151.000
2.860,4.072,127.000,198.000,219.000
5.859,-0.282,110.000,115.000,54.000
15.756,2.672,148.000,20.000,160.000
4.940,18.758,217.000,211.000,159.000
1.318,0.122,46.000,71.000,66.000
13.896,9.212,212.000,214.000,157.000
14.890,16.741,30.000,101.000,87.000
15.389,8.854,51.000,40.000,4.000
8.968,3.175,90.000,79.000,148.000
